Date and Time,Time (s),θ1,dθ1,d2dθ1,Position (m),Velocity (m/s),Acceleration (m/s¬≤),θ2,dθ2,d2dθ2,Position (m),Velocity (m/s),Acceleration (m/s¬≤)
4/10/2019 16:16,0,0.017,,,4.17E-04,,,0,,,0,,
4/10/2019 16:16,0.05,0.052,0.873,,0.0012,0.021,,-0.035,-0.698,,-8.33E-04,-0.017,
4/10/2019 16:16,0.1,0.105,0.698,-2.909,0.0025,0.017,-0.069,-0.07,-0.64,1.745,-0.0017,-0.015,0.042
4/10/2019 16:16,0.15,0.122,0.582,-3.103,0.0029,0.014,-0.074,-0.105,-0.524,2.909,-0.0025,-0.013,0.069
4/10/2019 16:16,0.2,0.157,0.407,-3.491,0.0037,0.01,-0.083,-0.122,-0.349,3.685,-0.0029,-0.008,0.088
4/10/2019 16:16,0.25,0.175,0.233,-4.072,0.0042,0.006,-0.097,-0.14,-0.116,3.879,-0.0033,-0.003,0.093
4/10/2019 16:16,0.3,0.175,0,-4.46,0.0042,-8.67E-18,-0.106,-0.14,0.058,3.491,-0.0033,0.001,0.083
4/10/2019 16:16,0.35,0.175,-0.233,-4.46,0.0042,-0.006,-0.106,-0.122,0.233,2.909,-0.0029,0.006,0.069
4/10/2019 16:16,0.4,0.157,-0.465,-3.685,0.0037,-0.011,-0.088,-0.122,0.349,2.521,-0.0029,0.008,0.06
4/10/2019 16:16,0.45,0.122,-0.64,-2.327,0.0029,-0.015,-0.056,-0.087,0.465,2.133,-0.0021,0.011,0.051
4/10/2019 16:16,0.5,0.087,-0.698,-1.164,0.0021,-0.017,-0.028,-0.07,0.582,1.745,-0.0017,0.014,0.042
4/10/2019 16:16,0.55,0.052,-0.698,-0.582,0.0012,-0.017,-0.014,-0.035,0.64,1.164,-8.33E-04,0.015,0.028
4/10/2019 16:16,0.6,0.017,-0.756,-1.11E-15,4.17E-04,-0.018,-6.94E-17,0,0.698,0.388,0,0.017,0.009
4/10/2019 16:16,0.65,-0.017,-0.756,1.164,-4.17E-04,-0.018,0.028,0.035,0.698,-0.776,8.33E-04,0.017,-0.019
4/10/2019 16:16,0.7,-0.07,-0.64,2.521,-0.0017,-0.015,0.06,0.07,0.64,-2.327,0.0017,0.015,-0.056
4/10/2019 16:16,0.75,-0.087,-0.465,3.297,-0.0021,-0.011,0.079,0.105,0.465,-3.491,0.0025,0.011,-0.083
4/10/2019 16:16,0.8,-0.105,-0.291,3.685,-0.0025,-0.007,0.088,0.122,0.233,-3.685,0.0029,0.006,-0.088
4/10/2019 16:16,0.85,-0.122,-0.116,4.072,-0.0029,-0.003,0.097,0.122,0.058,-3.297,0.0029,0.001,-0.079
4/10/2019 16:16,0.9,-0.122,0.116,4.266,-0.0029,0.003,0.102,0.122,-0.058,-3.297,0.0029,-0.001,-0.079
4/10/2019 16:16,0.95,-0.105,0.349,3.879,-0.0025,0.008,0.093,0.122,-0.233,-3.685,0.0029,-0.006,-0.088
4/10/2019 16:16,1,-0.087,0.524,2.909,-0.0021,0.012,0.069,0.105,-0.465,-3.491,0.0025,-0.011,-0.083
4/10/2019 16:16,1.05,-0.052,0.64,1.745,-0.0012,0.015,0.042,0.07,-0.64,-2.327,0.0017,-0.015,-0.056
4/10/2019 16:16,1.1,-0.017,0.698,0.776,-4.17E-04,0.017,0.019,0.035,-0.698,-0.776,8.33E-04,-0.017,-0.019
4/10/2019 16:16,1.15,0.017,0.698,0.194,4.17E-04,0.017,0.005,0,-0.698,0.388,0,-0.017,0.009
